,genre,metascore,imdbrating,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
145,Action,22.0,5.6,5.6,3.0,22.0,5000000.0
146,Drama,68.0,6.4,6.4,70.0,68.0,0.0
147,Comedy,81.0,7.2,7.2,85.0,81.0,3200000.0
148,Drama,76.0,7.0,7.0,87.0,76.0,5000000.0
149,Adventure,85.0,6.6,6.6,86.0,85.0,2000000.0
150,Biography,61.0,7.2,7.2,68.0,61.0,12500000.0
151,Comedy,60.0,6.9,6.9,79.0,60.0,700000.0
152,Crime,60.0,6.9,6.9,79.0,60.0,4000000.0
153,Drama,50.0,8.0,8.0,85.0,50.0,12000000.0
154,Drama,50.0,6.6,6.6,53.0,50.0,0.0
155,Drama,69.0,6.7,6.7,67.0,69.0,15000000.0
156,Comedy,74.0,6.3,6.3,80.0,74.0,7000000.0
157,Horror,53.0,5.7,5.7,58.0,53.0,3000000.0
158,Crime,53.0,6.1,6.1,55.0,53.0,13000000.0
159,Comedy,56.0,5.8,5.8,42.0,56.0,7000000.0
160,Comedy,76.0,6.1,6.1,76.0,76.0,0.0
161,Drama,58.0,5.4,5.4,50.0,58.0,22000000.0
162,Comedy,43.0,4.7,4.7,27.0,43.0,20000000.0
163,Horror,63.0,5.7,5.7,72.0,63.0,1800000.0
164,Comedy,37.0,6.4,6.4,34.0,37.0,4000000.0
165,Crime,52.0,6.2,6.2,38.0,52.0,25000000.0
166,Action,69.0,6.8,6.8,79.0,69.0,50000000.0
167,Biography,69.0,6.8,6.8,79.0,69.0,22000000.0
168,Crime,25.0,5.3,5.3,29.0,25.0,0.0
169,Comedy,34.0,5.4,5.4,17.0,34.0,35000000.0
170,Drama,0.0,6.8,6.8,0.0,0.0,0.0
171,Drama,0.0,8.2,8.2,0.0,0.0,0.0
172,Fantasy,56.0,5.6,5.6,60.0,56.0,25000000.0
173,Drama,45.0,6.3,6.3,22.0,45.0,15000000.0
174,Comedy,50.0,7.1,7.1,42.0,50.0,0.0
175,Drama,37.0,6.4,6.4,28.0,37.0,44000000.0
176,Action,75.0,6.7,6.7,86.0,75.0,0.0
177,Drama,66.0,6.5,6.5,74.0,66.0,650000.0
178,Horror,50.0,4.9,4.9,48.0,50.0,10000000.0
179,Comedy,67.0,7.3,7.3,78.0,67.0,30000000.0
180,Comedy,51.0,6.3,6.3,46.0,51.0,22000000.0
181,Crime,55.0,6.9,6.9,56.0,55.0,25000000.0
182,Comedy,23.0,3.9,3.9,0.0,23.0,35000000.0
183,Comedy,43.0,5.4,5.4,30.0,43.0,20000000.0
184,Comedy,49.0,6.0,6.0,42.0,49.0,12000000.0
185,Drama,45.0,6.4,6.4,28.0,45.0,31000000.0
186,Animation,35.0,4.6,4.6,12.0,35.0,80000000.0
187,Horror,25.0,4.8,4.8,10.0,25.0,25000000.0
188,Drama,59.0,7.5,7.5,72.0,59.0,0.0
189,Action,45.0,6.3,6.3,31.0,45.0,42000000.0
190,Action,49.0,5.5,5.5,42.0,49.0,800000.0
191,Comedy,0.0,7.0,7.0,89.0,0.0,0.0
192,Drama,45.0,7.0,7.0,55.0,45.0,7000000.0
193,Drama,50.0,6.1,6.1,32.0,50.0,21000000.0
194,Comedy,48.0,6.8,6.8,45.0,48.0,500000.0
195,Biography,37.0,5.6,5.6,13.0,37.0,25000000.0
196,Crime,63.0,6.5,6.5,64.0,63.0,0.0
197,Drama,22.0,4.6,4.6,3.0,22.0,8000000.0
198,Comedy,64.0,5.7,5.7,60.0,64.0,0.0
199,Drama,65.0,6.4,6.4,73.0,65.0,5000000.0
200,Action,57.0,7.0,7.0,77.0,57.0,150000000.0
201,Adventure,85.0,8.1,8.1,96.0,85.0,125000000.0
202,Drama,85.0,7.3,7.3,92.0,85.0,5000000.0
203,Comedy,75.0,6.8,6.8,90.0,75.0,32500000.0
